Domain Code,Domain,Country Code (M49),Country,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,year_dt
QCL,Crops and livestock products,348,Hungary,5510,Production,1355.01,Blueberries,2018,2018,tonnes,30.0,A,Official figure,2018-01-01
QCL,Crops and livestock products,348,Hungary,5510,Production,1355.01,Blueberries,2019,2019,tonnes,40.0,A,Official figure,2019-01-01
QCL,Crops and livestock products,348,Hungary,5510,Production,1355.01,Blueberries,2020,2020,tonnes,40.0,A,Official figure,2020-01-01
QCL,Crops and livestock products,348,Hungary,5510,Production,1355.01,Blueberries,2021,2021,tonnes,50.0,A,Official figure,2021-01-01
QCL,Crops and livestock products,380,Italy,5510,Production,1355.01,Blueberries,2012,2012,tonnes,1634.5,I,Imputed value,2012-01-01
QCL,Crops and livestock products,380,Italy,5510,Production,1355.01,Blueberries,2013,2013,tonnes,1645.53,I,Imputed value,2013-01-01
QCL,Crops and livestock products,380,Italy,5510,Production,1355.01,Blueberries,2014,2014,tonnes,1664.21,I,Imputed value,2014-01-01
QCL,Crops and livestock products,380,Italy,5510,Production,1355.01,Blueberries,2015,2015,tonnes,1681.92,I,Imputed value,2015-01-01
QCL,Crops and livestock products,380,Italy,5510,Production,1355.01,Blueberries,2016,2016,tonnes,1667.44,I,Imputed value,2016-01-01
QCL,Crops and livestock products,380,Italy,5510,Production,1355.01,Blueberries,2017,2017,tonnes,1671.41,I,Imputed value,2017-01-01
QCL,Crops and livestock products,380,Italy,5510,Production,1355.01,Blueberries,2020,2020,tonnes,6750.0,A,Official figure,2020-01-01
QCL,Crops and livestock products,380,Italy,5510,Production,1355.01,Blueberries,2021,2021,tonnes,8750.0,A,Official figure,2021-01-01
QCL,Crops and livestock products,428,Latvia,5510,Production,1355.01,Blueberries,2012,2012,tonnes,86.0,A,Official figure,2012-01-01
QCL,Crops and livestock products,428,Latvia,5510,Production,1355.01,Blueberries,2013,2013,tonnes,111.0,A,Official figure,2013-01-01
QCL,Crops and livestock products,428,Latvia,5510,Production,1355.01,Blueberries,2014,2014,tonnes,441.0,A,Official figure,2014-01-01
QCL,Crops and livestock products,428,Latvia,5510,Production,1355.01,Blueberries,2015,2015,tonnes,240.0,A,Official figure,2015-01-01
QCL,Crops and livestock products,428,Latvia,5510,Production,1355.01,Blueberries,2016,2016,tonnes,267.0,A,Official figure,2016-01-01
QCL,Crops and livestock products,428,Latvia,5510,Production,1355.01,Blueberries,2017,2017,tonnes,353.0,A,Official figure,2017-01-01
QCL,Crops and livestock products,428,Latvia,5510,Production,1355.01,Blueberries,2018,2018,tonnes,500.0,A,Official figure,2018-01-01
QCL,Crops and livestock products,428,Latvia,5510,Production,1355.01,Blueberries,2019,2019,tonnes,470.0,A,Official figure,2019-01-01
QCL,Crops and livestock products,428,Latvia,5510,Production,1355.01,Blueberries,2020,2020,tonnes,700.0,A,Official figure,2020-01-01
QCL,Crops and livestock products,428,Latvia,5510,Production,1355.01,Blueberries,2021,2021,tonnes,500.0,A,Official figure,2021-01-01
QCL,Crops and livestock products,440,Lithuania,5510,Production,1355.01,Blueberries,2012,2012,tonnes,800.0,T,Unofficial figure,2012-01-01
QCL,Crops and livestock products,440,Lithuania,5510,Production,1355.01,Blueberries,2013,2013,tonnes,600.0,T,Unofficial figure,2013-01-01
QCL,Crops and livestock products,440,Lithuania,5510,Production,1355.01,Blueberries,2014,2014,tonnes,600.0,T,Unofficial figure,2014-01-01
QCL,Crops and livestock products,440,Lithuania,5510,Production,1355.01,Blueberries,2015,2015,tonnes,113.0,A,Official figure,2015-01-01
QCL,Crops and livestock products,440,Lithuania,5510,Production,1355.01,Blueberries,2016,2016,tonnes,91.0,A,Official figure,2016-01-01
QCL,Crops and livestock products,440,Lithuania,5510,Production,1355.01,Blueberries,2017,2017,tonnes,124.0,A,Official figure,2017-01-01
QCL,Crops and livestock products,440,Lithuania,5510,Production,1355.01,Blueberries,2018,2018,tonnes,100.0,A,Official figure,2018-01-01
QCL,Crops and livestock products,440,Lithuania,5510,Production,1355.01,Blueberries,2019,2019,tonnes,410.0,A,Official figure,2019-01-01
QCL,Crops and livestock products,440,Lithuania,5510,Production,1355.01,Blueberries,2020,2020,tonnes,2340.0,A,Official figure,2020-01-01
QCL,Crops and livestock products,440,Lithuania,5510,Production,1355.01,Blueberries,2021,2021,tonnes,1840.0,A,Official figure,2021-01-01
QCL,Crops and livestock products,484,Mexico,5510,Production,1355.01,Blueberries,2012,2012,tonnes,7191.0,A,Official figure,2012-01-01
QCL,Crops and livestock products,484,Mexico,5510,Production,1355.01,Blueberries,2013,2013,tonnes,10160.0,A,Official figure,2013-01-01
QCL,Crops and livestock products,484,Mexico,5510,Production,1355.01,Blueberries,2014,2014,tonnes,18031.41,A,Official figure,2014-01-01
QCL,Crops and livestock products,484,Mexico,5510,Production,1355.01,Blueberries,2015,2015,tonnes,15488.54,A,Official figure,2015-01-01
QCL,Crops and livestock products,484,Mexico,5510,Production,1355.01,Blueberries,2016,2016,tonnes,29066.69,A,Official figure,2016-01-01
QCL,Crops and livestock products,484,Mexico,5510,Production,1355.01,Blueberries,2017,2017,tonnes,36699.7,A,Official figure,2017-01-01
QCL,Crops and livestock products,484,Mexico,5510,Production,1355.01,Blueberries,2018,2018,tonnes,40251.34,A,Official figure,2018-01-01
QCL,Crops and livestock products,484,Mexico,5510,Production,1355.01,Blueberries,2019,2019,tonnes,48998.58,A,Official figure,2019-01-01
QCL,Crops and livestock products,484,Mexico,5510,Production,1355.01,Blueberries,2020,2020,tonnes,50292.63,A,Official figure,2020-01-01
QCL,Crops and livestock products,484,Mexico,5510,Production,1355.01,Blueberries,2021,2021,tonnes,66481.52,A,Official figure,2021-01-01
QCL,Crops and livestock products,504,Morocco,5510,Production,1355.01,Blueberries,2012,2012,tonnes,68.0,E,Estimated value,2012-01-01
QCL,Crops and livestock products,504,Morocco,5510,Production,1355.01,Blueberries,2013,2013,tonnes,68.29,I,Imputed value,2013-01-01
QCL,Crops and livestock products,504,Morocco,5510,Production,1355.01,Blueberries,2014,2014,tonnes,68.66,I,Imputed value,2014-01-01
QCL,Crops and livestock products,504,Morocco,5510,Production,1355.01,Blueberries,2015,2015,tonnes,74.01,I,Imputed value,2015-01-01
QCL,Crops and livestock products,504,Morocco,5510,Production,1355.01,Blueberries,2016,2016,tonnes,70.32,E,Estimated value,2016-01-01
QCL,Crops and livestock products,504,Morocco,5510,Production,1355.01,Blueberries,2017,2017,tonnes,70.26,I,Imputed value,2017-01-01
QCL,Crops and livestock products,504,Morocco,5510,Production,1355.01,Blueberries,2018,2018,tonnes,71.53,E,Estimated value,2018-01-01
QCL,Crops and livestock products,504,Morocco,5510,Production,1355.01,Blueberries,2019,2019,tonnes,70.7,E,Estimated value,2019-01-01
QCL,Crops and livestock products,504,Morocco,5510,Production,1355.01,Blueberries,2020,2020,tonnes,70.83,E,Estimated value,2020-01-01
QCL,Crops and livestock products,504,Morocco,5510,Production,1355.01,Blueberries,2021,2021,tonnes,71.02,E,Estimated value,2021-01-01
QCL,Crops and livestock products,528,Netherlands,5510,Production,1355.01,Blueberries,2012,2012,tonnes,6000.0,E,Estimated value,2012-01-01
QCL,Crops and livestock products,528,Netherlands,5510,Production,1355.01,Blueberries,2013,2013,tonnes,5643.06,I,Imputed value,2013-01-01
QCL,Crops and livestock products,528,Netherlands,5510,Production,1355.01,Blueberries,2014,2014,tonnes,6400.0,E,Estimated value,2014-01-01
QCL,Crops and livestock products,528,Netherlands,5510,Production,1355.01,Blueberries,2015,2015,tonnes,7750.98,E,Estimated value,2015-01-01
QCL,Crops and livestock products,528,Netherlands,5510,Production,1355.01,Blueberries,2016,2016,tonnes,9080.84,E,Estimated value,2016-01-01
QCL,Crops and livestock products,528,Netherlands,5510,Production,1355.01,Blueberries,2017,2017,tonnes,8934.72,E,Estimated value,2017-01-01
QCL,Crops and livestock products,528,Netherlands,5510,Production,1355.01,Blueberries,2018,2018,tonnes,9300.0,A,Official figure,2018-01-01
QCL,Crops and livestock products,528,Netherlands,5510,Production,1355.01,Blueberries,2019,2019,tonnes,11060.0,A,Official figure,2019-01-01
QCL,Crops and livestock products,528,Netherlands,5510,Production,1355.01,Blueberries,2020,2020,tonnes,9200.0,A,Official figure,2020-01-01
QCL,Crops and livestock products,528,Netherlands,5510,Production,1355.01,Blueberries,2021,2021,tonnes,8500.0,A,Official figure,2021-01-01
QCL,Crops and livestock products,554,New Zealand,5510,Production,1355.01,Blueberries,2012,2012,tonnes,2600.0,E,Estimated value,2012-01-01
QCL,Crops and livestock products,554,New Zealand,5510,Production,1355.01,Blueberries,2013,2013,tonnes,2783.88,I,Imputed value,2013-01-01
QCL,Crops and livestock products,554,New Zealand,5510,Production,1355.01,Blueberries,2014,2014,tonnes,3000.0,E,Estimated value,2014-01-01
QCL,Crops and livestock products,554,New Zealand,5510,Production,1355.01,Blueberries,2015,2015,tonnes,3012.58,I,Imputed value,2015-01-01
QCL,Crops and livestock products,554,New Zealand,5510,Production,1355.01,Blueberries,2016,2016,tonnes,3072.99,I,Imputed value,2016-01-01
QCL,Crops and livestock products,554,New Zealand,5510,Production,1355.01,Blueberries,2017,2017,tonnes,3058.82,I,Imputed value,2017-01-01
QCL,Crops and livestock products,554,New Zealand,5510,Production,1355.01,Blueberries,2018,2018,tonnes,3339.68,I,Imputed value,2018-01-01
QCL,Crops and livestock products,554,New Zealand,5510,Production,1355.01,Blueberries,2019,2019,tonnes,3659.12,I,Imputed value,2019-01-01
QCL,Crops and livestock products,554,New Zealand,5510,Production,1355.01,Blueberries,2020,2020,tonnes,3681.74,I,Imputed value,2020-01-01
QCL,Crops and livestock products,554,New Zealand,5510,Production,1355.01,Blueberries,2021,2021,tonnes,3680.12,I,Imputed value,2021-01-01
QCL,Crops and livestock products,578,Norway,5510,Production,1355.01,Blueberries,2012,2012,tonnes,35.0,A,Official figure,2012-01-01
QCL,Crops and livestock products,578,Norway,5510,Production,1355.01,Blueberries,2013,2013,tonnes,27.0,A,Official figure,2013-01-01
QCL,Crops and livestock products,578,Norway,5510,Production,1355.01,Blueberries,2014,2014,tonnes,3.0,A,Official figure,2014-01-01
QCL,Crops and livestock products,578,Norway,5510,Production,1355.01,Blueberries,2015,2015,tonnes,4.0,A,Official figure,2015-01-01
QCL,Crops and livestock products,578,Norway,5510,Production,1355.01,Blueberries,2016,2016,tonnes,9.0,A,Official figure,2016-01-01
QCL,Crops and livestock products,578,Norway,5510,Production,1355.01,Blueberries,2017,2017,tonnes,30.0,A,Official figure,2017-01-01
QCL,Crops and livestock products,578,Norway,5510,Production,1355.01,Blueberries,2018,2018,tonnes,26.0,A,Official figure,2018-01-01
QCL,Crops and livestock products,578,Norway,5510,Production,1355.01,Blueberries,2019,2019,tonnes,38.0,A,Official figure,2019-01-01
QCL,Crops and livestock products,578,Norway,5510,Production,1355.01,Blueberries,2020,2020,tonnes,23.0,A,Official figure,2020-01-01
QCL,Crops and livestock products,578,Norway,5510,Production,1355.01,Blueberries,2021,2021,tonnes,40.0,A,Official figure,2021-01-01
QCL,Crops and livestock products,604,Peru,5510,Production,1355.01,Blueberries,2012,2012,tonnes,560.0,A,Official figure,2012-01-01
QCL,Crops and livestock products,604,Peru,5510,Production,1355.01,Blueberries,2013,2013,tonnes,1668.0,A,Official figure,2013-01-01
QCL,Crops and livestock products,604,Peru,5510,Production,1355.01,Blueberries,2014,2014,tonnes,2500.0,A,Official figure,2014-01-01
QCL,Crops and livestock products,604,Peru,5510,Production,1355.01,Blueberries,2015,2015,tonnes,10585.0,A,Official figure,2015-01-01
QCL,Crops and livestock products,604,Peru,5510,Production,1355.01,Blueberries,2016,2016,tonnes,22978.29,A,Official figure,2016-01-01
QCL,Crops and livestock products,604,Peru,5510,Production,1355.01,Blueberries,2017,2017,tonnes,52301.0,A,Official figure,2017-01-01
QCL,Crops and livestock products,604,Peru,5510,Production,1355.01,Blueberries,2018,2018,tonnes,94805.0,A,Official figure,2018-01-01
QCL,Crops and livestock products,604,Peru,5510,Production,1355.01,Blueberries,2019,2019,tonnes,147900.0,A,Official figure,2019-01-01
QCL,Crops and livestock products,604,Peru,5510,Production,1355.01,Blueberries,2020,2020,tonnes,179305.0,A,Official figure,2020-01-01
QCL,Crops and livestock products,604,Peru,5510,Production,1355.01,Blueberries,2021,2021,tonnes,227971.0,A,Official figure,2021-01-01
QCL,Crops and livestock products,616,Poland,5510,Production,1355.01,Blueberries,2012,2012,tonnes,11251.0,A,Official figure,2012-01-01
QCL,Crops and livestock products,616,Poland,5510,Production,1355.01,Blueberries,2013,2013,tonnes,12731.0,A,Official figure,2013-01-01
QCL,Crops and livestock products,616,Poland,5510,Production,1355.01,Blueberries,2014,2014,tonnes,12469.0,A,Official figure,2014-01-01
QCL,Crops and livestock products,616,Poland,5510,Production,1355.01,Blueberries,2015,2015,tonnes,14112.0,A,Official figure,2015-01-01
QCL,Crops and livestock products,616,Poland,5510,Production,1355.01,Blueberries,2016,2016,tonnes,14721.0,A,Official figure,2016-01-01
QCL,Crops and livestock products,616,Poland,5510,Production,1355.01,Blueberries,2017,2017,tonnes,16343.0,A,Official figure,2017-01-01
QCL,Crops and livestock products,616,Poland,5510,Production,1355.01,Blueberries,2018,2018,tonnes,25300.0,A,Official figure,2018-01-01
QCL,Crops and livestock products,616,Poland,5510,Production,1355.01,Blueberries,2019,2019,tonnes,34770.0,A,Official figure,2019-01-01
QCL,Crops and livestock products,616,Poland,5510,Production,1355.01,Blueberries,2020,2020,tonnes,55300.0,A,Official figure,2020-01-01
QCL,Crops and livestock products,616,Poland,5510,Production,1355.01,Blueberries,2021,2021,tonnes,55300.0,A,Official figure,2021-01-01
QCL,Crops and livestock products,620,Portugal,5510,Production,1355.01,Blueberries,2012,2012,tonnes,1436.51,A,Official figure,2012-01-01
QCL,Crops and livestock products,620,Portugal,5510,Production,1355.01,Blueberries,2013,2013,tonnes,1428.77,A,Official figure,2013-01-01
QCL,Crops and livestock products,620,Portugal,5510,Production,1355.01,Blueberries,2014,2014,tonnes,1823.71,A,Official figure,2014-01-01
QCL,Crops and livestock products,620,Portugal,5510,Production,1355.01,Blueberries,2015,2015,tonnes,4435.51,A,Official figure,2015-01-01
QCL,Crops and livestock products,620,Portugal,5510,Production,1355.01,Blueberries,2016,2016,tonnes,6572.0,A,Official figure,2016-01-01
QCL,Crops and livestock products,620,Portugal,5510,Production,1355.01,Blueberries,2017,2017,tonnes,9840.0,A,Official figure,2017-01-01
QCL,Crops and livestock products,620,Portugal,5510,Production,1355.01,Blueberries,2018,2018,tonnes,11060.0,A,Official figure,2018-01-01
QCL,Crops and livestock products,620,Portugal,5510,Production,1355.01,Blueberries,2019,2019,tonnes,15160.0,A,Official figure,2019-01-01
QCL,Crops and livestock products,620,Portugal,5510,Production,1355.01,Blueberries,2020,2020,tonnes,15420.0,A,Official figure,2020-01-01
QCL,Crops and livestock products,620,Portugal,5510,Production,1355.01,Blueberries,2021,2021,tonnes,17140.0,A,Official figure,2021-01-01
QCL,Crops and livestock products,642,Romania,5510,Production,1355.01,Blueberries,2012,2012,tonnes,1252.73,I,Imputed value,2012-01-01
QCL,Crops and livestock products,642,Romania,5510,Production,1355.01,Blueberries,2013,2013,tonnes,1099.69,I,Imputed value,2013-01-01
QCL,Crops and livestock products,642,Romania,5510,Production,1355.01,Blueberries,2014,2014,tonnes,1274.38,E,Estimated value,2014-01-01
QCL,Crops and livestock products,642,Romania,5510,Production,1355.01,Blueberries,2015,2015,tonnes,320.0,A,Official figure,2015-01-01
QCL,Crops and livestock products,642,Romania,5510,Production,1355.01,Blueberries,2016,2016,tonnes,298.0,A,Official figure,2016-01-01
QCL,Crops and livestock products,642,Romania,5510,Production,1355.01,Blueberries,2017,2017,tonnes,339.0,A,Official figure,2017-01-01
QCL,Crops and livestock products,642,Romania,5510,Production,1355.01,Blueberries,2018,2018,tonnes,650.0,A,Official figure,2018-01-01
QCL,Crops and livestock products,642,Romania,5510,Production,1355.01,Blueberries,2019,2019,tonnes,610.0,A,Official figure,2019-01-01
QCL,Crops and livestock products,642,Romania,5510,Production,1355.01,Blueberries,2020,2020,tonnes,1170.0,A,Official figure,2020-01-01
QCL,Crops and livestock products,642,Romania,5510,Production,1355.01,Blueberries,2021,2021,tonnes,1930.0,A,Official figure,2021-01-01
