,,Value,Value
,,sum,count
Item,Year,,
Leeks and other alliaceous vegetables,2017,21917.0,2
Leeks and other alliaceous vegetables,2018,23240.37,2
Leeks and other alliaceous vegetables,2019,25064.46,2
Leeks and other alliaceous vegetables,2020,21451.41,2
Leeks and other alliaceous vegetables,2021,20792.83,2
Lemons and limes,2012,256889.02,2
Lemons and limes,2013,264131.0,2
Lemons and limes,2014,295975.0,2
Lemons and limes,2015,302408.0,2
Lemons and limes,2016,309083.09,2
Lemons and limes,2017,206170.0,2
Lemons and limes,2018,297307.0,2
Lemons and limes,2019,328974.0,2
Lemons and limes,2020,342697.79,2
Lemons and limes,2021,364429.94,2
Lentils dry,2012,7693.27,2
Lentils dry,2013,8231.46,2
Lentils dry,2014,6696.92,2
Lentils dry,2015,6146.0,2
Lentils dry,2016,4939.01,2
Lentils dry,2017,5388.0,2
Lentils dry,2018,5653.99,2
Lentils dry,2019,5974.98,2
Lentils dry,2020,5340.26,2
Lentils dry,2021,5494.17,2
Lettuce and chicory,2012,57945.17,2
Lettuce and chicory,2013,65440.28,2
Lettuce and chicory,2014,70177.0,2
Lettuce and chicory,2015,75024.0,2
Lettuce and chicory,2016,80300.43,2
Lettuce and chicory,2017,81133.0,2
Lettuce and chicory,2018,84669.01,2
Lettuce and chicory,2019,86593.31,2
Lettuce and chicory,2020,75369.52,2
Lettuce and chicory,2021,75102.53,2
Linseed,2012,2784.0,2
Linseed,2013,2443.7799999999997,2
Linseed,2014,2219.0,2
Linseed,2015,1673.58,2
Linseed,2016,1835.51,2
Linseed,2017,2440.44,2
Linseed,2018,2043.0,2
Linseed,2019,2124.0,2
Linseed,2020,2085.0,2
Linseed,2021,1507.0,2
Lupins,2012,21403.0,2
Lupins,2013,21667.22,2
Lupins,2014,21692.59,2
Lupins,2015,23494.0,2
Lupins,2016,25134.22,2
Lupins,2017,24109.0,2
Lupins,2018,28392.67,2
Lupins,2019,28328.42,2
Lupins,2020,27151.04,2
Lupins,2021,26878.04,2
Maize (corn),2012,2179817.6399999997,2
Maize (corn),2013,2181532.0,2
Maize (corn),2014,2013683.0,2
Maize (corn),2015,2260262.0,2
Maize (corn),2016,2028246.17,2
Maize (corn),2017,1969895.0,2
Maize (corn),2018,2035603.0,2
Maize (corn),2019,2028246.0,2
Maize (corn),2020,1883846.0,2
Maize (corn),2021,2024148.0,2
Mangoes guavas and mangosteens,2012,215943.5,2
Mangoes guavas and mangosteens,2013,493921.0,2
Mangoes guavas and mangosteens,2014,412339.0,2
Mangoes guavas and mangosteens,2015,380528.0,2
Mangoes guavas and mangosteens,2016,400454.94,2
